ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,has_Turbo
45654403,13328,1399,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,186005,6,Automatic,4x4,4,Left,Silver,12,False
44731507,16621,1018,CHEVROLET,Equinox,2011,Jeep,False,Petrol,3.0,192000,6,Tiptronic,4x4,4,Left,Black,8,False
45774419,8467,0,HONDA,FIT,2006,Hatchback,False,Petrol,1.3,200000,4,Variator,Front,4,Right,Black,2,False
45769185,3607,862,FORD,Escape,2011,Jeep,True,Hybrid,2.5,168966,4,Automatic,4x4,4,Left,White,0,False
45809263,11726,446,HONDA,FIT,2014,Hatchback,True,Petrol,1.3,91901,4,Automatic,Front,4,Left,Silver,4,False
45802912,39493,891,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,160931,4,Automatic,Front,4,Left,White,4,False
45656768,1803,761,TOYOTA,Prius,2010,Hatchback,True,Hybrid,1.8,258909,4,Automatic,Front,4,Left,White,12,False
45816158,549,751,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,216118,4,Automatic,Front,4,Left,Grey,12,False
45641395,1098,394,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,398069,4,Automatic,Front,4,Left,Black,12,False
45756839,26657,0,LEXUS,RX 350,2007,Jeep,True,Petrol,3.5,128500,6,Automatic,4x4,4,Left,Silver,12,False
45621750,941,1053,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,184467,6,Automatic,Rear,4,Left,White,12,False
45814819,8781,0,FORD,Transit,1999,Microbus,False,CNG,4.0,0,8,Manual,Rear,2,Left,Blue,0,False
45815568,3000,0,OPEL,Vectra,1997,Goods wagon,False,CNG,1.6,350000,4,Manual,Front,4,Left,White,4,False
45661288,1019,1055,LEXUS,RX 450,2013,Jeep,True,Hybrid,3.5,138038,6,Automatic,Front,4,Left,White,12,False
45465200,549,1079,TOYOTA,CHR,2018,Jeep,True,Petrol,2.0,74146,4,Automatic,Front,4,Left,White,12,False
45772281,7683,810,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,121840,4,Automatic,Front,4,Left,Blue,12,False
45797221,28382,810,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,54317,4,Automatic,Front,4,Left,White,4,False
45653306,941,1850,LEXUS,RX 400,2008,Jeep,True,Hybrid,3.5,364523,6,Automatic,4x4,4,Left,Black,12,False
45801686,18826,531,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,112645,4,Automatic,Front,4,Left,Silver,4,False
45168471,20698,586,TOYOTA,Prius,2012,Sedan,True,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,Left,White,12,False
45751951,17562,1249,TOYOTA,Camry,2017,Sedan,True,Petrol,2.5,39709,4,Automatic,Front,4,Left,Black,12,False
45814106,7840,0,FORD,Transit,2001,Microbus,False,Diesel,2.0,230000,4,Manual,Front,2,Left,White,0,True
45813492,4704,0,OPEL,Vectra,1995,Sedan,False,Petrol,1.8,0,4,Automatic,Front,4,Left,Green,4,False
45782859,20385,0,MERCEDES-BENZ,E 220,2006,Sedan,True,Diesel,2.2,210000,4,Tiptronic,Rear,4,Left,Black,8,True
45804684,30,0,TOYOTA,Prius,2008,Sedan,False,Hybrid,1.5,169000,4,Automatic,Front,4,Left,White,8,False
45801525,14454,583,HYUNDAI,Elantra,2011,Sedan,True,Petrol,1.6,158787,4,Automatic,Front,4,Left,Silver,4,False
45768550,12074,1537,TOYOTA,Highlander,2009,Jeep,True,Hybrid,3.3,420550,6,Automatic,4x4,4,Left,Blue,12,False
44944581,15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,False,Diesel,2.0,180000,6,Manual,Rear,4,Left,White,4,True
45760983,19444,915,PORSCHE,Cayenne,2014,Jeep,True,Diesel,3.0,175056,6,Automatic,4x4,4,Left,White,12,False
45790136,6899,0,BMW,X5,2000,Jeep,True,CNG,4.4,200000,8,Automatic,4x4,4,Left,Silver,6,False
45770026,125,1750,TOYOTA,Highlander,2008,Sedan,True,Hybrid,3.3,287274,6,Automatic,4x4,4,Left,White,12,False
45542380,24462,0,JEEP,Grand Cherokee,2007,Jeep,True,Diesel,3.0,250000,6,Tiptronic,4x4,4,Left,Black,10,True
45732374,23235,707,HYUNDAI,Santa FE,2011,Jeep,True,Diesel,2.0,162000,4,Automatic,Front,4,Left,Grey,4,False
45642526,7527,1486,HONDA,FIT,2010,Hatchback,False,Hybrid,1.3,158000,4,Automatic,Front,4,Right,Black,4,False
45801668,19121,531,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,103490,4,Automatic,Front,4,Left,Silver,4,False
45661296,314,1399,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,382746,6,Automatic,4x4,4,Left,Silver,12,False
45815051,24462,751,TOYOTA,Camry,2013,Sedan,True,Petrol,2.4,203200,4,Automatic,Front,4,Left,Blue,4,False
45797488,45734,1091,HYUNDAI,H1,2016,Universal,True,Diesel,2.5,61057,4,Automatic,Front,4,Left,Black,4,False
45667253,20165,650,VOLKSWAGEN,Jetta,2016,Sedan,True,Petrol,1.4,11200,4,Tiptronic,Front,4,Left,Black,8,True
45108412,21326,382,HYUNDAI,Sonata,2014,Sedan,True,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left,White,12,False
45810322,549,1436,PORSCHE,Cayenne,2010,Jeep,True,Petrol,3.6,160259,6,Automatic,4x4,4,Left,Silver,12,False
45769564,220,1194,TOYOTA,Tacoma,2013,Jeep,True,Petrol,4.0,239342,6,Automatic,4x4,4,Left,Silver,12,False
45726453,15681,503,TOYOTA,Prius C,2012,Hatchback,False,Hybrid,1.5,128000,4,Variator,Front,4,Left,Sky blue,8,False
45811563,12544,0,TOYOTA,Aqua,2012,Hatchback,False,Hybrid,1.5,141500,4,Automatic,Front,4,Right,Black,8,False
45699930,17249,0,FORD,Escape Hybrid,2008,Jeep,False,Hybrid,2.3,147000,4,Variator,4x4,4,Left,White,8,False
45809839,34889,891,HONDA,Civic,2016,Sedan,True,Petrol,2.0,87768,4,Automatic,Front,4,Left,Blue,4,False
45767508,862,1104,AUDI,Q7,2015,Jeep,True,Petrol,3.0,264014,6,Automatic,4x4,4,Left,Black,0,False
45802148,14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,False,Diesel,1.5,132542,4,Manual,Front,4,Left,White,10,True
45769316,392,1017,MERCEDES-BENZ,E 300,2017,Sedan,True,Petrol,2.0,1600,4,Automatic,Rear,4,Left,Black,12,False
